timestamp,open,high,low,close,volume,SMA_7,SMA_30,RSI_14,MACD,Signal_Line,Histogram
2024-01-01 00:00:00,100.01,100.04,99.97,100.01,27,,,,,,
2024-01-01 01:00:00,100.02,100.06,100.01,100.03,38,,,,,,
2024-01-01 02:00:00,100.05,100.05,100.02,100.04,25,,,,,,
2024-01-01 03:00:00,100.05,100.06,100.02,100.04,17,,,,,,
2024-01-01 04:00:00,100.05,100.10,99.99,100.05,30,,,,,,
2024-01-01 05:00:00,100.01,100.04,99.98,100.01,20,,,,,,
2024-01-01 06:00:00,100.03,100.06,100.01,100.04,31,100.03,100.03,50.00,0.00,0.00,0.00
2024-01-01 07:00:00,100.00,100.03,99.97,100.01,23,100.03,100.03,48.00,0.00,0.00,0.00
2024-01-01 08:00:00,100.00,100.02,99.98,100.00,26,100.02,100.02,46.00,0.00,0.00,0.00
2024-01-01 09:00:00,99.98,100.01,99.97,100.00,34,100.02,100.02,44.00,0.00,0.00,0.00
...
2024-01-31 19:00:00,79.60,79.62,79.56,79.59,12,,,,,,
2024-01-31 20:00:00,79.62,79.65,79.62,79.63,24,,,,,,
2024-01-31 21:00:00,79.62,79.63,79.61,79.62,36,,,,,,
2024-01-31 22:00:00,79.63,79.65,79.62,79.63,12,,,,,,
2024-01-31 23:00:00,79.61,79.66,79.58,79.61,39,,,,,,
